Years of Experience,Salary
18,139750
16,173200
3,79750
39,115000
41,141500
6,97000
23,175000
45,147765
20,119250
18,129000
8,119800
2,79800
1,77700
0,78000
18,104800
3,117150
20,101000
34,103450
23,124750
36,137000
26,89565
31,102580
30,93904
19,113068
8,74830
8,106294
23,134885
3,82379
0,77000
8,118223
4,132261
2,79916
9,117256
2,80225
2,80225
0,77000
21,155750
4,86373
31,125196
9,100938
2,146500
23,93418
27,101299
38,231545
19,94384
15,114778
28,98193
19,151768
25,140096
1,70768
28,126621
11,108875
3,74692
9,106639
11,103760
5,83900
21,117704
8,90215
9,100135
3,75044
8,90304
2,75243
31,109785
11,103613
3,68404
8,100522
12,101000
31,99418
17,111512
36,91412
2,126320
45,146856
19,100131
34,92391
23,113398
3,73266
3,150480
19,193000
1,86100
2,84240
28,150743
16,135585
20,144640
2,88825
18,122960
14,132825
37,152708
2,88400
25,172272
7,107008
5,97032
7,105128
7,105631
38,166024
20,123683
0,84000
12,95611
7,129676
14,102235
26,106689
25,133217
23,126933
5,153303
14,127512
10,83850
28,113543
8,82099
8,82600
8,81500
31,131205
16,112429
16,82100
1,72500
37,104279
0,105000
9,120806
29,148500
36,117515
1,72500
3,73500
14,115313
32,124309
22,97262
22,62884
22,96614
49,78162
26,155500
0,72500
30,113278
2,73000
9,83001
57,76840
8,77500
1,72500
25,168635
18,136000
14,108262
14,105668
7,73877
18,152664
8,100102
10,81500
11,106608
3,89942
27,112696
28,119015
4,92000
27,156938
26,144651
3,95079
12,128148
4,92000
9,111168
10,103994
0,92000
21,118971
18,113341
0,88000
6,95408
16,137167
2,89516
19,176500
7,98510
3,89942
0,88795
8,105890
16,167284
19,130664
6,101210
18,181257
5,91227
19,151575
24,93164
20,134185
6,105000
25,111751
7,95436
9,100944
14,147349
3,92000
11,142467
5,141136
8,100000
22,150000
23,101000
30,134000
10,103750
10,107500
28,106300
19,153750
9,180000
22,133700
18,122100
19,86250
53,90000
7,113600
4,92700
4,92000
33,189409
22,114500
4,92700
40,119700
17,160400
17,152500
5,165000
2,96545
33,162200
18,120000
2,91300
20,163200
3,91000
39,111350
7,128400
19,126200
1,118700
11,145350
11,146000
22,105350
7,109650
11,119500
21,170000
10,145200
6,107150
20,129600
35,87800
20,122400
1,63900
7,70000
11,88175
38,133900
27,91000
24,73300
19,148750
19,117555
3,69700
17,81700
25,114000
6,63100
40,77202
6,96200
3,69200
30,122875
37,102600
23,108200
23,84273
11,90450
23,91100
18,101100
23,128800
7,204000
39,109000
8,102000
12,132000
2,77500
7,116450
8,83000
22,140300
23,74000
3,73800
30,92550
33,88600
45,107550
26,121200
31,126000
35,99000
30,134800
43,143940
10,104350
44,89650
7,103700
40,143250
18,194800
1,73000
4,74000
3,78500
6,93000
48,107200
27,163200
18,107100
46,100600
38,136500
27,103600
51,57800
43,155865
6,88650
49,81800
27,115800
0,85000
27,150500
5,74000
7,174500
28,168500
9,183800
1,104800
7,107300
36,97150
18,126300
11,148800
43,72300
39,70700
36,88600
16,127100
13,170500
4,105260
44,144050
31,111350
4,74500
28,122500
0,74000
15,166800
7,92050
9,108100
19,94350
35,100351
6,146800
3,84716
9,71065
45,67559
16,134550
15,135027
23,104428
9,95642
11,126431
15,161101
31,162221
4,84500
15,124714
37,151650
10,99247
23,134778
60,192253
9,116518
10,105450
19,145098
6,104542
38,151445
23,98053
12,145000
25,128464
15,137317
11,106231
17,124312
38,114596
31,162150
35,150376
10,107986
27,142023
33,128250
3,80139
28,144309
49,186960
38,93519
27,142500
20,138000
1,83600
21,145028
40,88709
35,107309
14,109954
4,78785
11,121946
15,109646
30,138771
17,81285
43,205500
40,101036
10,115435
1,108413
30,131950
31,134690
8,78182
20,110515
7,109707
26,136660
19,103275
26,103649
1,74856
3,77081
38,150680
8,104121
3,75996
23,172505
5,86895
44,105000
21,125192
9,114330
27,139219
15,109305
36,119450
18,186023
19,166605
19,151292
30,103106
19,150564
25,101738
15,95329
4,81035
